2069,魔爪芒果狂欢摩登罐330ml,魔爪,魔爪芒果狂欢罐装330毫升,
1377,魔爪超越摩登罐330,魔爪,魔爪超越高罐装330毫升,
541,魔爪原味摩登罐330毫升,魔爪,魔爪高罐装330毫升,
609,红牛维生素功能饮料250ml,红牛,红牛罐装250毫升,
610,红牛牛磺酸强化型饮料250ml,红牛,红牛牛磺酸强化型高罐装250毫升,
611,红牛奥地利进口劲能饮料250ml,红牛,红牛劲能饮料罐装250毫升,
2624,星巴克星倍醇焦香玛奇朵味罐装228毫升,星巴克,星巴克浓咖啡饮料焦香玛奇朵味罐装228毫升,
2625,星巴克星倍醇经典浓郁咖啡罐装228毫升,星巴克,星巴克咖啡饮料经典浓郁罐装228毫升,
2352,星巴克星倍醇经典美式咖啡罐装228毫升,星巴克,星巴克浓咖啡饮料星倍醇经典美式罐装228毫升,
2353,星巴克星倍醇黑醇摩卡味咖啡罐装228毫升,星巴克,星巴克浓咖啡饮料黑醇摩卡味罐装228毫升,
2354,星巴克星冰乐摩卡风味咖啡瓶281毫升,星巴克,星巴克咖啡饮料摩卡味玻璃瓶装281毫升,
2630,星巴克星冰乐香草味咖啡饮料玻璃瓶装281毫升,星巴克,星巴克咖啡饮料香草味玻璃瓶装281毫升,
1701,星巴克焦糖星冰乐咖啡瓶281毫升,星巴克,星巴克咖啡饮料焦糖味玻璃瓶装281毫升,
2626,星巴克红茶星冰乐奶茶饮料玻璃瓶装281毫升,星巴克,星巴克奶茶饮料红茶星冰乐玻璃瓶装281毫升,
2631,星巴克经典巧克力饮料瓶装275毫升,星巴克,星巴克含乳饮料经典巧克力味铝瓶装275毫升,
2330,雀巢咖啡冷萃拿铁风味浓咖啡饮料瓶装280毫升,雀巢咖啡,雀巢浓咖啡饮料冷萃拿铁风味瓶装280毫升,
2333,雀巢咖啡冷萃摩卡风味浓咖啡饮料瓶装280毫升,雀巢咖啡,雀巢浓咖啡饮料冷萃摩卡风味瓶装280毫升,
2331,雀巢咖啡冷萃美式风味无糖浓咖啡饮料瓶装280毫升,雀巢咖啡,雀巢浓咖啡饮料无糖冷萃美式风味瓶装280毫升,
2329,雀巢香滑咖啡罐装250毫升,雀巢咖啡,雀巢咖啡香滑罐装250毫升,
337,雀巢香浓咖啡罐装180ML,雀巢咖啡,雀巢咖啡浓香焙煎罐装180毫升,
338,雀巢特浓咖啡罐装180ML,雀巢咖啡,雀巢咖啡特浓罐装180毫升,
312,雀巢香滑咖啡罐装180ML,雀巢咖啡,雀巢咖啡原醇香滑罐装180毫升,
