1534,东鹏特饮 Other,东鹏特饮,,
1543,战马 Other,战马,,
1552,栗子园 Other,栗子园,,
2293,美国红牛其他,美国红牛,,
542,功能性维生素饮料 Others,General,,
2069,魔爪芒果狂欢摩登罐330ml,魔爪,,
1377,魔爪超越摩登罐330,魔爪,,
541,魔爪原味摩登罐330毫升,魔爪,,
543,魔爪 Others,魔爪,,
609,红牛维生素功能饮料250ml,红牛,,
610,红牛牛磺酸强化型饮料250ml,红牛,,
611,红牛奥地利进口劲能饮料250ml,红牛,,
613,红牛 Others,红牛,,
447,混合包装 Others,混合包装,,
2357,伯朗其他,布朗先生,,
1533,星巴克 Other,星巴克,,
2628,星巴克抹茶星冰乐奶茶饮料玻璃瓶装281毫升,星巴克,,
2624,星巴克星倍醇焦香玛奇朵味罐装228毫升,星巴克,,
2625,星巴克星倍醇经典浓郁咖啡罐装228毫升,星巴克,,
2352,星巴克星倍醇经典美式咖啡罐装228毫升,星巴克,,
2353,星巴克星倍醇黑醇摩卡味咖啡罐装228毫升,星巴克,,
1702,星巴克星冰乐冷冻咖啡281毫升,星巴克,,
2354,星巴克星冰乐摩卡风味咖啡瓶281毫升,星巴克,,
2630,星巴克星冰乐香草味咖啡饮料玻璃瓶装281毫升,星巴克,,
1701,星巴克焦糖星冰乐咖啡瓶281毫升,星巴克,,
2626,星巴克红茶星冰乐奶茶饮料玻璃瓶装281毫升,星巴克,,
2631,星巴克经典巧克力饮料瓶装275毫升,星巴克,,
1523,贝纳颂 Other,贝纳颂,,
2330,雀巢咖啡冷萃拿铁风味浓咖啡饮料瓶装280毫升,雀巢咖啡,,
2333,雀巢咖啡冷萃摩卡风味浓咖啡饮料瓶装280毫升,雀巢咖啡,,
2331,雀巢咖啡冷萃美式风味无糖浓咖啡饮料瓶装280毫升,雀巢咖啡,,
1752,雀巢咖啡速溶卡布基诺咖啡罐180毫升,雀巢咖啡,,
2329,雀巢香滑咖啡罐装250毫升,雀巢咖啡,,
337,雀巢香浓咖啡罐装180ML,雀巢咖啡,,
338,雀巢特浓咖啡罐装180ML,雀巢咖啡,,
312,雀巢香滑咖啡罐装180ML,雀巢咖啡,,
811,雀巢即饮咖啡丝滑焦糖风味268ml,雀巢咖啡,,
727,雀巢（Nestle）（丝滑摩卡）咖啡瓶装268ml,雀巢咖啡,,
728,雀巢咖啡丝滑榛果风味咖啡饮料268ml,雀巢咖啡,,
311,雀巢丝滑拿铁咖啡268ml,雀巢咖啡,,
